 age(yr) M*(M_sun) L*(L_sun) T(K) R*(R_sun)
117 3.4609233903e+06 2.7599888562e+00 7.0657926778e+01 1.3072329896e+04 1.6388967682e+00
118 3.3682973378e+06 2.7799888244e+00 7.2616381747e+01 1.3137298459e+04 1.6450621946e+00
119 3.2993678369e+06 2.7999887557e+00 7.4609038682e+01 1.3201247990e+04 1.6513643143e+00
120 2.8583199581e+06 2.9999877312e+00 9.6242297457e+01 1.3812553942e+04 1.7132161863e+00
121 2.3907814622e+06 3.1999869840e+00 1.2211287250e+02 1.4404294273e+04 1.7744914268e+00
122 2.0651676022e+06 3.3999860871e+00 1.5230999830e+02 1.4969028649e+04 1.8350762717e+00
123 1.7800479862e+06 3.5999852553e+00 1.8745491132e+02 1.5515719446e+04 1.8948800686e+00
124 1.5797743599e+06 3.7999842619e+00 2.2742099186e+02 1.6036812853e+04 1.9536929291e+00
125 1.3845202850e+06 3.9999834006e+00 2.7326525624e+02 1.6546385138e+04 2.0116994784e+00
126 1.2425088813e+06 4.1999823867e+00 3.2489371685e+02 1.7038031353e+04 2.0687546261e+00
127 1.1149192346e+06 4.3999814096e+00 3.8273060905e+02 1.7514086473e+04 2.1249502720e+00
128 1.0065299987e+06 4.5999803795e+00 4.4697943789e+02 1.7974393947e+04 2.1802807120e+00
129 9.2096600272e+05 4.7999792709e+00 5.1819417466e+02 1.8422504082e+04 2.2347353175e+00
130 8.2115176632e+05 4.9999784308e+00 5.9731857502e+02 1.8864028468e+04 2.2882911242e+00
131 7.6039224668e+05 5.1999772695e+00 6.8331950156e+02 1.9286345622e+04 2.3414730813e+00
132 6.8903749043e+05 5.3999763485e+00 7.7804026173e+02 1.9704583828e+04 2.3935563393e+00
133 6.3533808523e+05 5.5999752917e+00 8.8066543166e+02 2.0109267232e+04 2.4450634630e+00
134 5.7859101659e+05 5.7999743867e+00 9.9247641423e+02 2.0507307415e+04 2.4958585355e+00
135 5.4629954546e+05 5.9999731389e+00 1.1119138858e+03 2.0889622584e+04 2.5459597998e+00
136 5.0918752434e+05 6.1999720544e+00 1.2410624322e+03 2.1266005931e+04 2.5953868839e+00
137 4.6199028495e+05 6.3999712838e+00 1.3818856637e+03 2.1642322812e+04 2.6442679836e+00
138 4.2901740268e+05 6.5999703010e+00 1.5313265471e+03 2.2005353736e+04 2.6924915529e+00
139 4.0418668833e+05 6.7999691820e+00 1.6898279206e+03 2.2357284481e+04 2.7400613519e+00
140 3.7842417697e+05 6.9999681580e+00 1.8595570409e+03 2.2704579056e+04 2.7871156861e+00
141 3.6104265240e+05 7.1999669499e+00 2.0382605875e+03 2.3040242638e+04 2.8335632347e+00
142 3.3819873849e+05 7.3999659696e+00 2.2298089460e+03 2.3374801931e+04 2.8794868526e+00
143 3.2095869631e+05 7.5999648487e+00 2.4315875548e+03 2.3700398694e+04 2.9248985312e+00
144 3.0411009603e+05 7.7999637825e+00 2.6449301788e+03 2.4019968601e+04 2.9698833218e+00
145 2.8143443571e+05 7.9999630325e+00 2.8735994949e+03 2.4341741547e+04 3.0143034992e+00
146 2.2270643181e+05 8.9999539230e+00 4.1809067889e+03 2.5828652593e+04 3.2293037218e+00
147 1.7131924801e+05 9.9996103755e+00 5.8158046653e+03 2.7207378540e+04 3.4324850932e+00
148 1.4588930451e+05 1.0999496336e+01 7.7809413790e+03 2.8463277879e+04 3.6276334553e+00
149 1.2323708330e+05 1.1999350357e+01 1.0119476402e+04 2.9639706292e+04 3.8151215716e+00
150 1.0374135790e+05 1.2999179479e+01 1.2841516410e+04 3.0744749815e+04 3.9943248392e+00
151 9.3014627754e+04 1.3998971281e+01 1.5914790400e+04 3.1758233691e+04 4.1673975646e+00
152 8.4441753952e+04 1.4998727530e+01 1.9376201825e+04 3.2708827746e+04 4.3349242966e+00
153 7.7103945796e+04 1.5998450445e+01 2.3228460364e+04 3.3603561800e+04 4.4969363341e+00
154 6.8927563625e+04 1.6998151134e+01 2.7505023652e+04 3.4455427427e+04 4.6544447555e+00
155 6.1922517207e+04 1.7997820968e+01 3.2180726251e+04 3.5261902952e+04 4.8068833267e+00
156 5.9278939141e+04 1.8997411977e+01 3.7179835090e+04 3.6005471902e+04 4.9555728747e+00
157 5.2785383414e+04 1.9997035596e+01 4.2671848783e+04 3.6735985987e+04 5.0999331148e+00
158 4.8335395221e+04 2.1996028078e+01 5.4602828343e+04 3.8047400024e+04 5.3781728089e+00
159 4.2589575897e+04 2.3994931003e+01 6.8124474380e+04 3.9251252746e+04 5.6444507739e+00
160 3.7899515923e+04 2.5993691371e+01 8.3111871357e+04 4.0347671820e+04 5.9002677940e+00
161 3.4550422402e+04 2.7992269608e+01 9.9479071678e+04 4.1347911231e+04 6.1466129081e+00
162 3.1870925382e+04 2.9990670063e+01 1.1718539842e+05 4.2261952253e+04 6.3857923548e+00
163 2.9924715329e+04 3.1988936883e+01 1.3612620838e+05 4.3099723252e+04 6.6175779116e+00
164 2.7940454803e+04 3.3987108787e+01 1.5636537163e+05 4.3877169418e+04 6.8433733977e+00
165 2.6225773689e+04 3.5985212596e+01 1.7780716527e+05 4.4597911664e+04 7.0635453097e+00
166 2.4632971450e+04 3.7983351532e+01 2.0042537433e+05 4.5274142716e+04 7.2770110239e+00
167 2.3763720859e+04 3.9981312164e+01 2.2398900634e+05 4.5897548694e+04 7.4853398193e+00
168 2.1530210185e+04 4.4976736027e+01 2.8750020141e+05 4.7298775599e+04 7.9853955201e+00
169 2.0580245071e+04 4.9972130891e+01 3.5678820069e+05 4.8491508848e+04 8.4635194866e+00
170 1.8757019021e+04 5.4968536890e+01 4.3160334855e+05 4.9546893979e+04 8.9163413421e+00
171 1.6861588665e+04 5.9965435529e+01 5.1137946900e+05 5.0483792931e+04 9.3485626463e+00
172 1.6839359337e+04 6.4960504843e+01 5.9417780452e+05 5.1287925716e+04 9.7634902034e+00
173 1.6110038515e+04 6.9956804364e+01 6.8151797290e+05 5.2019983466e+04 1.0164251190e+01
174 1.5187733130e+04 7.4955035876e+01 7.7259429316e+05 5.2688390780e+04 1.0549285141e+01
175 1.3347190215e+04 7.9955607441e+01 8.6800986624e+05 5.3320369489e+04 1.0918253726e+01
176 1.3704886205e+04 8.4950002385e+01 9.6430725220e+05 5.3856574231e+04 1.1279956346e+01
177 1.2007293763e+04 8.9949265993e+01 1.0657672154e+06 5.4384461408e+04 1.1629436366e+01
178 1.1711511115e+04 9.4945143311e+01 1.1681342454e+06 5.4847348240e+04 1.1970499144e+01
179 1.1189773045e+04 9.9942296321e+01 1.2734083156e+06 5.5270568504e+04 1.2307593099e+01
180 1.0726135416e+04 1.0493990214e+02 1.3809094617e+06 5.5660590713e+04 1.2637586251e+01
181 1.0267485472e+04 1.0993881894e+02 1.4905138207e+06 5.6024174026e+04 1.2959678598e+01
182 9.8834926151e+03 1.1493848043e+02 1.6021188924e+06 5.6359840083e+04 1.3276543377e+01
183 9.6285220138e+03 1.1993882766e+02 1.7153582679e+06 5.6671474849e+04 1.3587061527e+01
184 9.5249286748e+03 1.2493346041e+02 1.8300054150e+06 5.6957697749e+04 1.3893078394e+01
